controller,shift_type,shift_intensity,rmse_mean,success_rate,final_position_error_mean,control_smoothness_mean,mean_estimated_uncertainty,mean_correction_gain
adaptive_gru_nominal,actuator_delay+disturbance_burst,medium,0.17995989653799263,1.0,0.04107623319658963,0.17248221155669952,0.2184220668342378,1.0
adaptive_gru_nominal,actuator_delay+disturbance_burst,mild,0.12719386070966715,1.0,0.028972996295326223,0.13723681287633047,0.2111956460608376,1.0
adaptive_gru_nominal,actuator_delay+disturbance_burst,severe,0.2258960240417056,1.0,0.08177004376840256,0.20032207667827603,0.21760891046788952,1.0
adaptive_gru_nominal,disturbance_burst,medium,0.14431764309604958,1.0,0.026187783029551256,0.1427899027864138,0.21549068639675772,1.0
adaptive_gru_nominal,disturbance_burst,mild,0.12350798274079955,1.0,0.022624291324367083,0.1410964199652274,0.18943794568379715,1.0
adaptive_gru_nominal,disturbance_burst,severe,0.16307526454329488,1.0,0.020087409376477166,0.1342459004372358,0.20021229113141692,1.0
adaptive_gru_uncertainty,actuator_delay+disturbance_burst,medium,0.18256288932429415,1.0,0.04642966669052836,0.16644974218474493,0.22567040887143872,0.9541096952226427
adaptive_gru_uncertainty,actuator_delay+disturbance_burst,mild,0.1298072884480158,1.0,0.028876500721606906,0.13141770081387621,0.23248502777682412,0.950148257944319
adaptive_gru_uncertainty,actuator_delay+disturbance_burst,severe,0.23525435560279417,1.0,0.08333108243015075,0.18312673767407733,0.22227993441952598,0.9547052582105001
adaptive_gru_uncertainty,disturbance_burst,medium,0.1479703206568956,1.0,0.029211039228054334,0.13911316854258374,0.24478861441214875,0.9520213057597479
adaptive_gru_uncertainty,disturbance_burst,mild,0.12286846277614431,1.0,0.022658161081684083,0.14537271857261655,0.21276259794831273,0.9615882635116577
adaptive_gru_uncertainty,disturbance_burst,severe,0.16651821012298262,1.0,0.025835775595623958,0.1331427389134963,0.2235741503536701,0.9554517567157745
adaptive_mlp,actuator_delay+disturbance_burst,medium,0.20722498827510408,1.0,0.040966269870599065,0.1735162163774172,0.0,1.0
adaptive_mlp,actuator_delay+disturbance_burst,mild,0.14473870810535217,1.0,0.025882941567235477,0.1373819468749894,0.0,1.0
adaptive_mlp,actuator_delay+disturbance_burst,severe,0.25812047388818526,1.0,0.06499732989403932,0.18542523847685916,0.0,1.0
adaptive_mlp,disturbance_burst,medium,0.17124328265587485,1.0,0.03504903827949112,0.14348912239074704,0.0,1.0
adaptive_mlp,disturbance_burst,mild,0.1409318087001641,1.0,0.021182485312844276,0.1543492320924997,0.0,1.0
adaptive_mlp,disturbance_burst,severe,0.20276864990592,1.0,0.034390002954751205,0.13751164761682347,0.0,1.0
baseline,actuator_delay+disturbance_burst,medium,0.327547013759613,1.0,0.05239857381416687,0.12191610286633169,0.0,1.0
baseline,actuator_delay+disturbance_burst,mild,0.22709808912542126,1.0,0.03976698778569695,0.10124443554215956,0.0,1.0
baseline,actuator_delay+disturbance_burst,severe,0.4231843849023183,0.6666666666666666,0.14600616734888813,0.14743738290336392,0.0,1.0
baseline,disturbance_burst,medium,0.26425133148829144,1.0,0.056734916754066896,0.12492974164585269,0.0,1.0
baseline,disturbance_burst,mild,0.218097706635793,1.0,0.029438007739372513,0.1277862880378961,0.0,1.0
baseline,disturbance_burst,severe,0.31590074549118674,1.0,0.059510547396105985,0.11471730781098201,0.0,1.0
