episode_id,controller,trajectory_kind,shift_type,shift_intensity,shift_time,unseen,compound_shift,condition_group,rmse,mae,final_position_error,heading_error,success,recovery_time,control_smoothness,control_energy_proxy,peak_error_after_shift,mean_error_after_shift,robustness_score,mean_estimated_uncertainty,peak_estimated_uncertainty,mean_structure_uncertainty,mean_disturbance_uncertainty,mean_correction_gain,post_shift_correction_gain,mean_structure_gain,post_shift_structure_gain,mean_disturbance_gain,post_shift_disturbance_gain
eval_2024_friction_shift_mild_00,baseline,lane_change,friction_shift,mild,4.736414033672823,1,0,hard_unseen_trajectory,0.06701310724020004,0.05190843716263771,0.042020607739686966,0.03706301376223564,1.0,0.34999990463256836,0.07972272485494614,0.7400423288345337,0.13828080892562866,0.05714651569724083,0.9351829435889715,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2024_friction_shift_mild_00,adaptive_mlp,lane_change,friction_shift,mild,4.736414033672823,1,0,hard_unseen_trajectory,0.05759480595588684,0.04340851306915283,0.03196929395198822,0.03371678292751312,1.0,0.34999990463256836,0.08852577954530716,0.7405648827552795,0.11039657890796661,0.04103018343448639,0.94403238625096,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2024_friction_shift_mild_00,adaptive_gru_nominal,lane_change,friction_shift,mild,4.736414033672823,1,0,hard_unseen_trajectory,0.056939102709293365,0.042001090943813324,0.02434692531824112,0.03378484025597572,1.0,0.34999990463256836,0.08410152047872543,0.7810847759246826,0.09937463700771332,0.040086738765239716,0.944651594337705,0.16394878923892975,0.2753180265426636,0.31904804706573486,0.08043377101421356,1.0,1.0,1.0,1.0,1.0,1.0
eval_2024_friction_shift_mild_00,adaptive_gru_uncertainty,lane_change,friction_shift,mild,4.736414033672823,1,0,hard_unseen_trajectory,0.055761974304914474,0.03879687190055847,0.014500121586024761,0.03352256491780281,1.0,0.34999990463256836,0.0871722400188446,0.7589007616043091,0.09636752307415009,0.03464825451374054,0.9457642252879146,0.1832280308008194,0.3090095520019531,0.3312998414039612,0.10349707305431366,0.9831759333610535,0.9907684326171875,0.9988635182380676,0.9981247186660767,0.9831759333610535,0.9907684326171875
eval_2024_friction_shift_mild_01,baseline,circle,friction_shift,mild,4.67527107394866,0,0,in_distribution_single_shift,0.1563601791858673,0.0967697948217392,0.05801874026656151,0.05799202620983124,1.0,0.34999990463256836,0.05692102760076523,0.7005032896995544,0.07674312591552734,0.05884614959359169,0.8552510912471459,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2024_friction_shift_mild_01,adaptive_mlp,circle,friction_shift,mild,4.67527107394866,0,0,in_distribution_single_shift,0.14941902458667755,0.07094767689704895,0.021512169390916824,0.04872096702456474,1.0,0.34999990463256836,0.05844027176499367,0.7125151753425598,0.032416511327028275,0.019263725727796555,0.8612081718839737,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2024_friction_shift_mild_01,adaptive_gru_nominal,circle,friction_shift,mild,4.67527107394866,0,0,in_distribution_single_shift,0.1537151336669922,0.08641205728054047,0.03294879198074341,0.04945549741387367,1.0,0.34999990463256836,0.06728827208280563,0.7025972008705139,0.09452928602695465,0.043397437781095505,0.857516263735086,0.18037152290344238,0.3797079622745514,0.36424094438552856,0.08136487752199173,1.0,1.0,1.0,1.0,1.0,1.0
eval_2024_friction_shift_mild_01,adaptive_gru_uncertainty,circle,friction_shift,mild,4.67527107394866,0,0,in_distribution_single_shift,0.14749380946159363,0.07236159592866898,0.03708512336015701,0.042791616171598434,1.0,0.34999990463256836,0.06585723906755447,0.7139732837677002,0.03786785900592804,0.025782058015465736,0.862867779920973,0.19821760058403015,0.4665784239768982,0.39378592371940613,0.09291162341833115,0.9874469041824341,0.9922541379928589,0.9961482286453247,0.9940283298492432,0.9874469041824341,0.9922541379928589
eval_2024_friction_shift_mild_02,baseline,spline,friction_shift,mild,7.808362605128902,0,0,in_distribution_single_shift,0.0861905962228775,0.04661146178841591,0.02564598247408867,0.034810870885849,1.0,0.34999990463256836,0.055218592286109924,0.2428732067346573,0.02570514939725399,0.020288502797484398,0.9174193578911736,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2024_friction_shift_mild_02,adaptive_mlp,spline,friction_shift,mild,7.808362605128902,0,0,in_distribution_single_shift,0.08455634862184525,0.04572325572371483,0.01399955153465271,0.032662779092788696,1.0,0.34999990463256836,0.07515890151262283,0.24641279876232147,0.022142531350255013,0.017922917380928993,0.9189198740494533,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
