epoch,train_loss,val_loss,val_mse,val_focus_mse,val_severe_focus_mse,val_structure_mse,val_delay_mse,val_disturbance_mse,val_delay_disturbance_mse,selection_score,val_mae_mass_ratio,val_mae_friction_ratio,val_mae_delay_severity,val_mae_disturbance_x,val_mae_disturbance_y
1,2.970913536420007,1.5589494817319582,0.5357960930558711,2.639190592046925,1.0102420465470239,0.4540741922889453,0.7929538139388989,0.4889390839305876,0.5902773386160313,1.0102420465470239,0.39905666898285097,0.43292990473900705,0.6508667489909642,0.25582458985022216,0.3881561319747791
2,1.0657037309714867,1.3912401739464975,0.4294831953245465,2.115226916669975,0.8467746357755103,0.324782571302355,0.7972914817532178,0.3502796697088957,0.4992836172979732,0.8467746357755103,0.33184709412648195,0.3643866337186568,0.5856104886383436,0.2471802699615352,0.28418493160953057
3,0.6085011486690569,1.1893690180646599,0.33153908342851257,1.8979519602201567,0.6900191151186199,0.29226345068411436,0.6742465835719023,0.19946095189393087,0.35772283874029603,0.6900191151186199,0.29707813087065904,0.36121633537577397,0.49622618014387077,0.1824246013477795,0.22241850303801153
4,0.3409209417934075,1.8528983297849262,0.30611555152579134,1.8384254249684433,0.6723863746835208,0.29054319774736287,0.5453313881211042,0.20207996281021035,0.3164971116818608,0.6723863746835208,0.3093301074853302,0.3537284451841264,0.39919413856341024,0.18340204717267652,0.18359952788575007
5,0.15699103524493643,1.9504134921831928,0.27691340159647143,1.7962545485142576,0.6311527241026548,0.2664471174671442,0.5325891629733925,0.15954179396795315,0.283890921483396,0.6311527241026548,0.28511948033706996,0.3380498195804721,0.3854162305002665,0.13396450273998325,0.15264982174705832
6,0.0402549988336418,3.304833609368626,0.30172024404139713,1.822218718329241,0.6850967634282061,0.25985932499239006,0.6085166339777537,0.19018295922549763,0.32962753045608395,0.6850967634282061,0.2799267060968831,0.335271908314671,0.40337659885060023,0.14967499772982423,0.181379204579024
7,0.018160003679257047,6.249958862352613,0.2541839995585921,1.7743190915120697,0.6094349830270968,0.2614874101938219,0.5071229384537939,0.12041110088881285,0.24931505732598971,0.6094349830270968,0.27179497604053543,0.33324834068231507,0.34927965298727837,0.1109585775214442,0.12671334406042384
8,-0.19080899813692928,3.053627858078386,0.23689047906353705,1.5778317401188209,0.558566981736775,0.2364959484863633,0.5164153126320459,0.09752258245518483,0.23715349616901069,0.558566981736775,0.25975671040951354,0.32458449795038374,0.3603747993529035,0.09941868399518489,0.10472607128957605
9,-0.3755030635316672,5.161783232233831,0.2627047080428109,1.6794268115152682,0.5768542711899104,0.26424507473871534,0.560651930041333,0.11219072126542548,0.26167780229604537,0.5768542711899104,0.26893719641939184,0.33500953355985286,0.3705079991897717,0.08602990126928572,0.1022271852770287
10,-0.4984358346973382,5.739760883945977,0.250576131688169,1.6013078248517312,0.5616155647912735,0.24632560937511255,0.5408453983664787,0.1096920052113045,0.25340980806621116,0.5616155647912735,0.26646776362023855,0.3409382242824472,0.36297661019338884,0.10691415664511048,0.10799910165901941
11,-0.626959316199581,8.208593069875004,0.23838271399888644,1.6892363931820544,0.5927284206042591,0.22438197715208794,0.5242553807008425,0.10944710834378633,0.24771653813747505,0.5927284206042591,0.25244318543078437,0.3180440306498632,0.33443664350285407,0.09052853740377326,0.09867666838299904
12,-0.7819389488357397,8.943809821452891,0.23547682302126746,1.6738341475835645,0.5925136354454326,0.23154214943757856,0.4982771601969331,0.10801132283366292,0.2380999390460094,0.5925136354454326,0.25447749783774026,0.3136014021613621,0.3278187790901884,0.08268168188009795,0.091407556751457
13,-0.8293217308788379,7.1413296035161595,0.24814568084195332,1.6302065754497364,0.5791331374079141,0.237877737959171,0.539997596024038,0.1124876573640611,0.25499097829098083,0.5791331374079141,0.25596840011188654,0.31863620787955144,0.34746310962626,0.07927274681995299,0.09461982924029155
14,-0.8755353194879133,8.263783709471982,0.23065861342358887,1.5988859495104266,0.5566403177915052,0.22908615629043155,0.5240336548573084,0.08554354527644871,0.23170692207435134,0.5566403177915052,0.2452523298338296,0.3231015466995204,0.3303013928423504,0.07111938750485551,0.07621601244555799
15,-1.0309217929180563,11.608204268430883,0.22243342431474247,1.6032069945813545,0.5585110433547383,0.22371801717482498,0.4907756407396098,0.08697770876700893,0.22157702501219173,0.5585110433547383,0.2436802953330533,0.31049568150767864,0.3224116969954973,0.06363701413665955,0.07183028932758717
16,-1.1707899075820734,11.58196736519762,0.22082686900694065,1.5834283345220495,0.5458449922835239,0.21836307146077666,0.5055937979863282,0.08090718155542158,0.22246939253015638,0.5458449922835239,0.2529887401216752,0.3159093797454201,0.33038343697332906,0.05841121771413646,0.06767917547757969
17,-1.0743305090222286,8.64965029332208,0.22776453137232885,1.6267363297851363,0.570564478635788,0.2115921219437284,0.5285420330398475,0.0935481743635451,0.2385461362840504,0.570564478635788,0.23292048134634494,0.3197388147747203,0.33180624386746527,0.061623786934623524,0.07441187322606904
18,-1.3546061245072762,11.757603276100177,0.22167798540816433,1.6537307319194834,0.5746696801875911,0.20967555877358862,0.5057318736985841,0.09165345609133119,0.2296795977761307,0.5746696801875911,0.24741926496619177,0.31394934533322777,0.32122697320166904,0.06614717177500533,0.06854519667082418
19,-0.8131328385565456,15.378938931592218,0.21533057284264479,1.671684557636414,0.5801571508386049,0.21879582187446817,0.46188072608109715,0.08859024194888032,0.21302041078888914,0.5801571508386049,0.24392876618465778,0.3047939597763406,0.3016331573959428,0.06092897116615784,0.059454870971461606
20,-1.4881669129573458,11.34334696735199,0.2331477585147745,1.5762993034650346,0.5552882854292172,0.22154988900149897,0.5365216202206082,0.09305867708106505,0.2408796643031913,0.5552882854292172,0.2378581529830996,0.31545477014579437,0.34360429799848025,0.05859893843456038,0.06477749924771849
21,-1.362378283259285,15.791448023858957,0.2240308268024054,1.6212158152836158,0.5643535930063934,0.22384949313599484,0.5157306086582871,0.07836225809707187,0.22415171141116616,0.5643535930063934,0.2399271997563462,0.31364322467133876,0.32182143502875155,0.05278981350269555,0.05682586521638489
22,-1.489876055354729,23.624579387966417,0.22197968328999396,1.585654367055141,0.5659044843326796,0.2010778589504773,0.5377189973193195,0.08501184288173598,0.23591423314966437,0.5659044843326796,0.23503388320866572,0.29776942295762127,0.32507730948314956,0.04933119386283414,0.05556193858371346
23,-1.38371444051856,16.686046588690175,0.22385596959697535,1.6246589584084576,0.5772008011834641,0.19706318665891817,0.54354109385971,0.0908061886603874,0.24171783143389108,0.5772008011834641,0.2275838981635453,0.3040072479353571,0.3321297604018722,0.05531113586869862,0.059153645255149045
24,-1.5274618837348652,21.272309904771227,0.24027637762235243,1.6284045940200653,0.5857022092495167,0.2140489736560744,0.6097598376500546,0.08176204514869653,0.25776131688147,0.5857022092495167,0.23228459866050202,0.30809081254768284,0.3617098151181029,0.052646059603007396,0.05501809552717231
25,-1.1428450750612125,24.713674903960204,0.23617340974018508,1.711114457080638,0.6067822210356737,0.21676301490386657,0.5673654438329215,0.08998778409768135,0.24911367377964458,0.6067822210356737,0.23503692999805048,0.3219793881618136,0.3351232803269101,0.05031127408112508,0.055168952135074625
26,-1.7185460048427554,23.120704968550502,0.2380435984081912,1.7944437988401283,0.6328709013949017,0.21450841784092511,0.5540091373668722,0.1035959936279946,0.25373371479257345,0.6328709013949017,0.24181755416785697,0.30093454754039295,0.33208444020670097,0.05619388510962135,0.06082725316052505
