controller,condition_group,metric,mean,ci_low,ci_high,bootstrap_samples
baseline,overall,rmse,0.20077711324547493,0.18710552462162303,0.21567686427133306,700
baseline,overall,final_position_error,0.13518040342670348,0.11455460194450257,0.1542911270229582,700
baseline,overall,success,0.8650793650793651,0.8174603174603174,0.9007936507936508,700
baseline,overall,robustness_score,0.7837919869824984,0.7652354034266511,0.8041216089378806,700
baseline,compound_shift_ood,rmse,0.2363519127032271,0.21493880792641668,0.2580815617521121,700
baseline,compound_shift_ood,final_position_error,0.1799008471166922,0.14649494567118515,0.21484462032870696,700
baseline,compound_shift_ood,success,0.7870370370370371,0.7129629629629629,0.8518518518518519,700
baseline,compound_shift_ood,robustness_score,0.7330222207074425,0.7007014043250124,0.766349795021241,700
baseline,hard_unseen_trajectory,rmse,0.1812973292544484,0.15470204220877753,0.2083500601351261,700
baseline,hard_unseen_trajectory,final_position_error,0.048509910237044096,0.03544758047177715,0.06333380373188346,700
baseline,hard_unseen_trajectory,success,1.0,1.0,1.0,700
baseline,hard_unseen_trajectory,robustness_score,0.8371180590212262,0.8167913442833878,0.858419013814991,700
baseline,in_distribution_single_shift,rmse,0.17169557511806488,0.152940155081106,0.1926596782989455,700
baseline,in_distribution_single_shift,final_position_error,0.11935012413326788,0.09340060781116201,0.15335898264559175,700
baseline,in_distribution_single_shift,success,0.8981481481481481,0.8333333333333334,0.9537037037037037,700
baseline,in_distribution_single_shift,robustness_score,0.8167863959113119,0.7915762617922164,0.839818726946895,700
adaptive_mlp,overall,rmse,0.1425658498432428,0.13546428549443446,0.14998186305128333,700
adaptive_mlp,overall,final_position_error,0.07359512060481523,0.06276770982226552,0.08627500391619775,700
adaptive_mlp,overall,success,0.9761904761904762,0.9563492063492064,0.9920634920634921,700
adaptive_mlp,overall,robustness_score,0.8613056797814405,0.8506743482280845,0.8704091814513604,700
adaptive_mlp,compound_shift_ood,rmse,0.15934498549473505,0.1460609048717069,0.1705306261493307,700
adaptive_mlp,compound_shift_ood,final_position_error,0.09565741210934464,0.07913378611340671,0.11534449861199525,700
adaptive_mlp,compound_shift_ood,success,0.9722222222222222,0.9395833333333333,1.0,700
adaptive_mlp,compound_shift_ood,robustness_score,0.8459144374946987,0.8284998471371751,0.8604572206899326,700
adaptive_mlp,hard_unseen_trajectory,rmse,0.13509708415302965,0.1197554072416905,0.14972063378534384,700
adaptive_mlp,hard_unseen_trajectory,final_position_error,0.024277361180995487,0.01823259655017561,0.031120961579532983,700
