epoch,train_loss,val_loss,val_mse,val_focus_mse,val_severe_focus_mse,val_structure_mse,val_delay_mse,val_disturbance_mse,val_delay_disturbance_mse,selection_score,val_mae_mass_ratio,val_mae_friction_ratio,val_mae_delay_severity,val_mae_disturbance_x,val_mae_disturbance_y
1,2.8955518830201767,1.5845249603837797,0.48239200173736774,2.606403178144238,0.9709932334745134,0.4062507875837341,0.7643656688881888,0.4175463513659683,0.5331528018344213,0.9709932334745134,0.3562871674449282,0.42339452283620943,0.6260247483348012,0.2647673066940765,0.36060764537862283
2,1.0888877843920126,1.5111299020565836,0.36499190954306865,2.164188824171512,0.8028944384232816,0.33319402285136623,0.6847991402548214,0.23688615951300657,0.3861904957152666,0.8028944384232816,0.3207229956771548,0.3743436878427705,0.5410087782427593,0.21597767579714897,0.26928755807239046
3,0.6153531259768237,1.7192696566376173,0.3209233187403532,1.8687819614972097,0.693799467241231,0.2849031230061216,0.6171198352903416,0.20884523896260876,0.34493677974873943,0.693799467241231,0.3058242472485498,0.3659082520881959,0.4585587733239279,0.19252301405629238,0.24699036719998
4,0.38106887604355977,2.3177432093602715,0.2851849271988418,1.7526054707415482,0.626916047654541,0.2563033857176303,0.6295749614622363,0.1418714367090254,0.30443928470777554,0.626916047654541,0.2962925666045791,0.3334673474383497,0.4499963063037357,0.16003479722349695,0.1607103765477998
5,0.17487295793464736,2.7729313154548145,0.2833042038701657,1.7357885788090497,0.6270204952176456,0.25386948110651675,0.6866336504178643,0.11107418157156848,0.30292734653513353,0.6270204952176456,0.26664071305109205,0.3469214204161219,0.4630103772991316,0.09285778029825678,0.1233225097410027
6,0.10075127616792628,2.3751607954144864,0.2933697478666235,1.6871271156781058,0.6190613807621723,0.2556691463914759,0.719245317950673,0.11813256364365557,0.3185034909243955,0.6190613807621723,0.2711852644379098,0.3397315593840835,0.46142402647167047,0.11672622237462721,0.12556206965677305
7,-0.05208655046724185,5.041218532566213,0.25931660916850335,1.6255215567589465,0.5799433512861358,0.2397546280963787,0.5643622482795768,0.12635574982071757,0.27235792450170576,0.5799433512861358,0.2632103399397207,0.3224840632447893,0.3800336955164148,0.10234240036837348,0.12072052698412376
8,0.05132893609143227,5.032724891680624,0.23950841613096704,1.7421644935826652,0.606667097611546,0.23049324569530671,0.5204277723107046,0.10806389889130674,0.24551853372678056,0.606667097611546,0.2650799538035061,0.327196395138872,0.3392541120545883,0.0892316666876132,0.11725390996181125
9,-0.19938286557731788,5.5286901419533185,0.2461201381633885,1.6184797331093093,0.5740819047567975,0.2359176422797793,0.5425307504478937,0.108117306188484,0.25292179411652455,0.5740819047567975,0.2552524934226107,0.3315359790955012,0.3658518336125924,0.09439150239532035,0.10336598398060005
10,-0.4925728202031031,4.7948831334098685,0.2389786030054642,1.559020458745099,0.5576128306862614,0.2293122276121045,0.499060719641962,0.11860391951722997,0.2454228624598449,0.5576128306862614,0.25227116549163436,0.3132984373304579,0.3548020555875223,0.07787096868631971,0.09230359972430133
11,-0.45004019146968055,7.741535244311205,0.23553267460008984,1.6237101896999617,0.5849607603761006,0.22724837590989674,0.5308998105656776,0.09613339345491718,0.24105553811956187,0.5849607603761006,0.2566825779641812,0.32062342772565167,0.34559448131387166,0.0706424480102314,0.08601334035643898
12,-0.18738296233107277,6.995687471440774,0.2218032298363151,1.669764682629956,0.589822282682316,0.21073083885257943,0.5079537067423223,0.08980038030431148,0.22918482521894948,0.589822282682316,0.25703330257621543,0.3138954220635927,0.3242879028197201,0.06631379932123925,0.07743203238772599
13,-0.7415581967985646,10.267695847031376,0.2298213315688833,1.6707019196946042,0.5903595264686753,0.22809707500133278,0.528107427283881,0.08240254170618996,0.23097084277838043,0.5903595264686753,0.242932695790665,0.3311170465443859,0.3326175231546672,0.06314031068714822,0.06987130768346368
14,-0.8600002747848321,12.492614645076381,0.23567698639677986,1.6296110658559892,0.5725052815640012,0.22803786593464015,0.5017339713895524,0.11028760636063037,0.2407697349745538,0.5725052815640012,0.2496502785267177,0.3265651111066369,0.32514584982323724,0.06610867151635866,0.07826417016785174
15,-0.8850679515308364,8.331798372591845,0.22609720869979974,1.5646737104409738,0.5578734252572665,0.2115047403665774,0.516133903852527,0.09567131886130767,0.2358255201685313,0.5578734252572665,0.24159707622958967,0.3085986005924659,0.3322004439809895,0.07065346615827814,0.0755586286138532
16,-1.1193222287284883,13.272093826749458,0.21718729563905875,1.5871555810564946,0.5574580935453038,0.2046548883834705,0.4996142348917798,0.08850623125535874,0.22554223790400696,0.5574580935453038,0.2272783774502984,0.3132732891717667,0.3257550360036369,0.061867582132982296,0.06708673031553249
17,-1.0786665929633388,9.425621758028349,0.22681964034581306,1.5332306777485618,0.545701776783606,0.21594089651613424,0.4967772923289713,0.10271954792347741,0.234072136619279,0.545701776783606,0.2414765386550643,0.3114276765512947,0.32262625173249515,0.0655979189580352,0.07336922013962967
18,-0.9740364140329849,9.373889195089134,0.22000282960259018,1.5673537156778636,0.5469901357971066,0.21057363282485514,0.4920833785724068,0.09339174183593087,0.22628896019463168,0.5469901357971066,0.24255306548157723,0.3112637171167116,0.33345974805224265,0.06666697203810724,0.06906089171554262
19,-1.2848353201258067,17.488514846456166,0.21080138521941372,1.546624672487069,0.5410160820101636,0.1897585435829277,0.5227879767266217,0.0758509172200504,0.22482994220783326,0.5410160820101636,0.22617053611864413,0.30103348212727976,0.3393130681656538,0.04956074258928312,0.0573535677253403
20,-1.1431707217320697,26.20909159927667,0.23008588093142732,1.62934438967386,0.5727063646207706,0.21549325774704164,0.48937823416286486,0.11503231561875402,0.2398142985632036,0.5727063646207706,0.24650536599165837,0.3155055844107769,0.31649879477110915,0.05365089679874545,0.06746424049647408
21,-1.1980284097283707,18.954156127872967,0.2220468131310932,1.4968431814165366,0.5313020521124808,0.20141370261303562,0.5261703192115984,0.09061815856138838,0.23580221798135256,0.5313020521124808,0.2281862364874946,0.32060830347985375,0.3390607648095869,0.051997780140339914,0.06122276534568115
22,-1.4615651673466008,15.990561696558627,0.23520923405542193,1.7190178666674305,0.629059415566531,0.2021872465541254,0.5950377571137614,0.08831695415021198,0.25722389616357283,0.629059415566531,0.2307011581005837,0.3119887945123288,0.352992542112077,0.05157415640964218,0.06361834741287267
23,-1.4538737795659615,26.54440588685102,0.216232257835488,1.7139396655251762,0.593562273824748,0.20136374836970497,0.508908258983758,0.08476275143910451,0.22614459453666744,0.593562273824748,0.22280651899788884,0.3099166827028168,0.3103707186249117,0.05293548285768789,0.05563924646751295
24,-1.6809415290959149,25.658974751177446,0.20763159940708834,1.6744926792924555,0.586873840425574,0.18716808428078435,0.4975103650460215,0.08315573138459219,0.22127394894126814,0.586873840425574,0.2231824887189078,0.29968577543674607,0.30942059233750324,0.04995624798681946,0.05607292535613901
25,-1.5820159084404488,30.366520501106443,0.21514040812224822,1.732386556128963,0.6218781380086739,0.19093802843351088,0.5230433787616402,0.08539130346340318,0.23127533724199192,0.6218781380086739,0.22566470620598097,0.3011114059807024,0.31533011548142104,0.04877362310639061,0.05466566417227148
26,-1.3952345487652642,27.459767659175444,0.22085239711089197,1.6798717658082258,0.5948181698925762,0.1982008838032511,0.4972218408280663,0.10531917321824187,0.23595340227739994,0.5948181698925762,0.22871817219032017,0.312231703143122,0.30592443570391603,0.05099473745936125,0.07141567634074245
27,-1.5529169794269948,22.627028488904003,0.21063778662445248,1.5291354040662062,0.5360599980479619,0.20014781960697975,0.4751567272009966,0.08886827022582636,0.21763109709464662,0.5360599980479619,0.2434879696935264,0.30743592166856665,0.30331793728375994,0.05108936712894642,0.05427408501430281
28,-1.700286422033033,27.452275538070786,0.22353464079210977,1.7418528939788382,0.6136197286536474,0.1998325655981383,0.5464621562873124,0.08577294917815825,0.23933602653103744,0.6136197286536474,0.22896296002997843,0.30558256181828597,0.3260145678724656,0.04745184383176889,0.054878579108272076
29,-1.3314130881020636,25.872833767207663,0.23092866395271666,1.732868318708331,0.6168658056666962,0.19487310803777447,0.5830469985280844,0.09092504280860204,0.2549657046506349,0.6168658056666962,0.22099414691775557,0.3085882368039403,0.34606194089447206,0.05640735407477977,0.056883014666424085
30,-1.7485796557422495,20.710019440956522,0.22989770847017615,1.705144191129024,0.5985063554752582,0.19202340740166046,0.5812684214983519,0.09208663479489848,0.25514723908082304,0.5985063554752582,0.22572926015225134,0.302501087971358,0.34247250224984477,0.0510269035497202,0.06914010422743097
31,-1.668680858678013,25.958984395060575,0.21458969670212616,1.6703183243713273,0.5918355105026574,0.18590887045464574,0.5338160756094327,0.08365732617332755,0.2337102505840866,0.5918355105026574,0.21761543688107987,0.3041934074482757,0.3233580303499917,0.046276759529729324,0.0511207486034374
