controller,rmse_mean,mae_mean,final_position_error_mean,heading_error_mean,success_rate,recovery_time_mean,control_smoothness_mean,control_energy_proxy_mean,robustness_score_mean,mean_estimated_uncertainty,mean_structure_uncertainty,mean_disturbance_uncertainty,mean_correction_gain,mean_structure_gain,mean_disturbance_gain
adaptive_gru_nominal,0.12572313082360087,0.08174409552492083,0.052346067619509995,0.07154135070445519,0.996031746031746,0.3500000115424868,0.11615486228690734,1.7473316058693897,0.8817965139800938,0.20300276358685795,0.3100509810305777,0.14536141654446957,1.0,1.0,1.0
adaptive_gru_uncertainty,0.12783783823547382,0.08400042965594265,0.05781651340634747,0.07229704889912336,0.9880952380952381,0.3500000115424868,0.11499283820508964,1.7350399406065071,0.877446224168686,0.21542324610645808,0.3287355537334132,0.15440892849472307,0.9681932968752724,0.99787456932522,0.9681932968752724
adaptive_mlp,0.1425658498432428,0.0950341356312117,0.07359512060481523,0.08061148530788838,0.9761904761904762,0.3500000115424868,0.11879705439602571,1.7182978187347688,0.8613056797814405,0.0,0.0,0.0,1.0,1.0,1.0
baseline,0.20077711324547493,0.1364399770067798,0.13518040342670348,0.1162857102703244,0.8650793650793651,0.3500000115424868,0.0922050303853457,1.7301966656176817,0.7837919869824985,0.0,0.0,0.0,1.0,1.0,1.0
