controller,condition_group,shift_type,shift_intensity,rmse_mean,rmse_std,mae_mean,final_position_error_mean,heading_error_mean,success_rate,recovery_time_mean,control_smoothness_mean,control_energy_proxy_mean,robustness_score_mean,mean_estimated_uncertainty,mean_structure_uncertainty,mean_disturbance_uncertainty,mean_correction_gain,mean_structure_gain,mean_disturbance_gain
adaptive_gru_nominal,compound_shift_ood,actuator_delay+disturbance_burst,medium,0.1799598965379927,0.026966559840640024,0.11899020688401328,0.04107623319658968,0.1275699105527666,1.0,0.350000090069241,0.17248221155669954,1.9798528287145827,0.8355730438010722,0.21842206683423784,0.27861690521240234,0.1860094683037864,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,actuator_delay+disturbance_burst,mild,0.1271938607096672,0.026122868671034524,0.08507247476114167,0.028972996295326285,0.08848025401433308,1.0,0.3500000105963813,0.1372368128763305,1.1440190143055387,0.8808309200060058,0.21119564606083763,0.2688323458035787,0.1801604860358768,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,actuator_delay+disturbance_burst,severe,0.22589602404170567,0.03468649341010672,0.14523112608326805,0.0817700437684026,0.18196574019061196,1.0,0.34999998410542804,0.20032207667827606,3.00195402569241,0.7982223798155553,0.21760891046788958,0.2743845168087218,0.18703743153148228,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,friction_shift+actuator_delay,medium,0.10836148137847583,0.05322642130047632,0.06299217521316475,0.046975877342952624,0.04834697995748785,1.0,0.3500000635782878,0.08954963212211926,1.0717318149076567,0.8984203391300729,0.19464299745029873,0.2937961121400197,0.14125286704964107,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,friction_shift+actuator_delay,mild,0.08764949316779773,0.034623862370393714,0.051985554604066744,0.02821844567855199,0.03433668199512693,1.0,0.3500000105963813,0.08346203383472231,1.1088032457563612,0.916570057510104,0.19718070824941,0.2891981734169854,0.14763283812337452,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,friction_shift+actuator_delay,severe,0.09031023126509455,0.04820619974940719,0.05544098011321492,0.02553038625046611,0.04561547521087858,1.0,0.350000090069241,0.07177375298407343,0.5275056974755393,0.9145796160637926,0.19024155868424308,0.3199571503533257,0.12039470341470507,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,mass_shift+disturbance_burst,medium,0.17660514844788444,0.027903665093062607,0.12836733046505186,0.10315358866420057,0.10406843407286538,1.0,0.3500000105963813,0.13017028487390941,2.3868655496173434,0.838401988214444,0.20823788311746386,0.3162911699877845,0.1500553439060847,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,mass_shift+disturbance_burst,mild,0.1348276494277848,0.04158846198975943,0.09377285796735021,0.043439915817644864,0.08991001587775019,1.0,0.34999995761447483,0.12371568547354804,1.570184565252728,0.87453309732662,0.19822577304310268,0.3193167911635505,0.13302291515800688,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,mass_shift+disturbance_burst,severe,0.17922733889685738,0.0438478500275211,0.12446340670188268,0.13440856213370958,0.11580099248223835,1.0,0.34999995761447483,0.12531141771210563,2.1486054327752857,0.8366171336769207,0.1988106800450219,0.29866571062140995,0.1450425965918435,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,mass_shift+friction_shift,medium,0.1067646046479543,0.03338127500151424,0.08185185905959871,0.0774075947701931,0.06701031658384535,1.0,0.34999998410542804,0.09812305205398136,2.4743197891447277,0.899177859396349,0.1951135579082701,0.3826167384783427,0.09415031472841899,1.0,1.0,1.0
