epoch,train_loss,val_loss,val_mse,val_focus_mse,val_severe_focus_mse,val_structure_mse,val_delay_mse,val_disturbance_mse,val_delay_disturbance_mse,selection_score,val_mae_mass_ratio,val_mae_friction_ratio,val_mae_delay_severity,val_mae_disturbance_x,val_mae_disturbance_y
1,0.6185810409311108,0.4034196491503067,0.4034196491503067,5.361748244257884,1.6003148480734555,0.3229914674455529,0.7745443960113314,0.2982854423516354,0.4570384362756299,1.6003148480734555,0.33176197748461206,0.4052461344506566,0.5808407448029507,0.2257251343786469,0.22739966028898528
2,0.32110534065491925,0.26934997452300175,0.26934997452300175,2.661142840809732,0.8637687367962054,0.24663324221975522,0.5395227688806515,0.15698030570400867,0.28449446776321047,0.8637687367962054,0.2925513154518335,0.337051420620698,0.4571995288889328,0.14922999302436263,0.16209130333337216
3,0.24044963015890056,0.23380669052834993,0.23380669052834993,2.1224071581608803,0.6971374270881909,0.23009897638653323,0.4402085355263583,0.1343134678676965,0.23627849880205756,0.6971374270881909,0.28697664345283563,0.3206190198948439,0.38903619441748655,0.12524361289443373,0.13541266642280744
4,0.21076647611656954,0.21853416453945632,0.21853416453945632,2.2307419252318685,0.7268826881412429,0.21199428437491508,0.45797811196442845,0.10535206612407363,0.22289408622468435,0.7268826881412429,0.2606541059598663,0.3159039283249443,0.3518158689299285,0.1126642631682013,0.11356885766257555
5,0.19424073827217228,0.2000239951516308,0.2000239951516308,1.985839337646384,0.6550944104426575,0.19483091951845538,0.41780629483386084,0.09632590525762559,0.20348604110019336,0.6550944104426575,0.24882314083157403,0.3063673724662109,0.3302561701470776,0.10301078657446615,0.10692654946478021
6,0.18337554060242153,0.2113114556322564,0.2113114556322564,2.068878965863658,0.6924070569571947,0.19902804338640748,0.45339308514909404,0.10255404672022511,0.21950039756688286,0.6924070569571947,0.2553637998342624,0.30643977257116095,0.3307540103442771,0.10152304035114659,0.09997999288894
7,0.17369442337281477,0.20142662782804271,0.20142662782804271,2.01913351006033,0.6554982789846652,0.19291190460234975,0.4021269732106386,0.1095911730484459,0.2071031116296092,0.6554982789846652,0.25067892817650705,0.29056210559653267,0.3186818734464034,0.10210862803865875,0.10662765181960461
8,0.1665712250507389,0.19534962784727358,0.19534962784727358,1.9085254104882685,0.6380443384071384,0.18581062602029522,0.4095743646980046,0.09777624914212235,0.2017089600810921,0.6380443384071384,0.25027660116615136,0.29787247540380285,0.3124998553440064,0.09981591210160842,0.10363751405282413
9,0.16097726108787136,0.18991290685862866,0.18991290685862866,1.9269905215641934,0.6274639351843908,0.17763295427562453,0.39508110812425945,0.09960875156949114,0.19809954479824513,0.6274639351843908,0.2356002740785239,0.28927782462345614,0.3027019903043164,0.09186085878621053,0.09821641406687573
10,0.15660094442786351,0.19141424745802177,0.19141424745802177,1.9797371867588995,0.633220597881774,0.18074149201135034,0.4050262246938717,0.09528101175858603,0.19852941961758913,0.633220597881774,0.23894074612798202,0.2928656368774442,0.31086436302885034,0.08906717331192911,0.0921691884198679
11,0.1540332691385868,0.19753722101106463,0.19753722101106463,2.034990776953691,0.6934085951636276,0.17530524868083583,0.44578447546371947,0.09564555504042853,0.2123585348719548,0.6934085951636276,0.2330099262362419,0.28794065671562874,0.2998765877943096,0.09236473364454087,0.10126354222805503
12,0.14995345753587958,0.1937280727104692,0.1937280727104692,2.03909010931664,0.6562990185685728,0.18194194420409565,0.398120514832097,0.10331797205451008,0.201585488389609,0.6562990185685728,0.23494101603935807,0.29135145707963633,0.28711863386295755,0.09294407265479798,0.10909979812776839
13,0.14488412137883994,0.1850520614319927,0.1850520614319927,1.9905497932445073,0.6408363994350077,0.16840762217344912,0.40488514786439317,0.09177994448133414,0.19614835314318682,0.6408363994350077,0.225136196300037,0.28481682658250457,0.29829210771179904,0.08655279668699821,0.08987665769964827
14,0.14346457003805152,0.18346049491644126,0.18346049491644126,1.8730804036569353,0.6302916473469025,0.16622254413193194,0.40248712942643117,0.09118511874714773,0.19495245970273797,0.6302916473469025,0.22762550083158642,0.2895809457619765,0.28796624301929746,0.08321585035258144,0.08614768543348933
15,0.14009137600454222,0.18550255233417628,0.18550255233417628,1.9659582574612646,0.6192909908588716,0.17166962175393446,0.39001106776197475,0.09708121107910953,0.19472450105865852,0.6192909908588716,0.2266589088228893,0.2850494295729641,0.29667836326011704,0.09258539745916469,0.09161914576578382
16,0.13759364621767858,0.18674317927693596,0.18674317927693596,1.8968293649527048,0.6199472647842145,0.1675647236733131,0.42392253458032747,0.08733194631920702,0.1995288130117485,0.6199472647842145,0.21974346526705651,0.285230550198799,0.30014159284796565,0.08578980227338932,0.0859440411219898
17,0.1371422046591962,0.1812025878033972,0.1812025878033972,1.8510497283308998,0.6036960287762436,0.16766223573860567,0.3913111172826019,0.0896886689661422,0.19022949061920258,0.6036960287762436,0.22440904447591595,0.28814798348946963,0.2867177888070894,0.07991564345282857,0.08937875940921726
18,0.13388560764893456,0.17622452544597175,0.17622452544597175,1.88862622440988,0.5978046645487217,0.1639758078952493,0.3751968608137758,0.08898707420499494,0.18439034045896754,0.5978046645487217,0.22078111942268397,0.283060878913707,0.28396550517524094,0.07789387643584572,0.08336507653024901
