controller,rmse_mean,mae_mean,final_position_error_mean,heading_error_mean,success_rate,recovery_time_mean,control_smoothness_mean,control_energy_proxy_mean,robustness_score_mean
adaptive,0.12936108898267978,0.08238066868701328,0.05340540150832061,0.06665447829032524,0.9791666666666666,0.34999999900658924,0.09513940700950722,1.0914358210025563,0.8733195956864476
baseline,0.15873139193798932,0.10338688282192582,0.08557608145282655,0.08245829737279564,0.9375,0.34999999900658924,0.07861505172008441,1.1028309475837483,0.8368181500117503
