epoch,train_loss,val_loss,val_mae_mass_ratio,val_mae_friction_ratio,val_mae_delay_severity,val_mae_disturbance_x,val_mae_disturbance_y
1,0.7822187794359557,0.6752827408237906,0.39123930871733986,0.5028557572951785,0.6658945861858616,0.33645849043238046,0.3484562000628164
2,0.5263909078265402,0.5335795924912514,0.329659777887959,0.4312995789291783,0.5984075887239491,0.272272268931071,0.27777456709623005
3,0.3917457229011671,0.44217894285051657,0.2933621746210966,0.36311095779862146,0.5940467740819991,0.2334423869807031,0.25609541664809443
4,0.30212728726583565,0.40917992418732385,0.27166899078284723,0.35866646219256176,0.5802000693430709,0.20035614512273384,0.22226880002318578
5,0.24832044484127277,0.3706508798635517,0.2625172299797934,0.3308575433649298,0.5398397402809534,0.18170359784306991,0.208543229399875
6,0.21359134445876338,0.339536474329802,0.2548812464559721,0.3347950364214421,0.4790155317113937,0.19545386210187013,0.19633382781412592
7,0.18726396152587352,0.32688643866802153,0.25479964761483387,0.3381647463491184,0.45967617799962046,0.14929383655141829,0.16413294197283015
8,0.17116111989612676,0.338248412752135,0.2540321251168785,0.3127411714398185,0.45586360688031463,0.15677565295007054,0.17528004682575188
9,0.15795216912385668,0.32781034137121046,0.25631613421407146,0.31065346624181805,0.4787250226299133,0.14102126322016842,0.1595749124616673
10,0.14974695933255364,0.31633441369686877,0.24937096736902684,0.33184536792760405,0.4427085780174076,0.14619919966859937,0.16299835016453745
11,0.14242530628564776,0.31446767205766624,0.24104427796676445,0.33988986800155535,0.4324952622831775,0.13452250515606723,0.14943719833553415
12,0.13699313333887503,0.32015949779320224,0.2596995541993348,0.3151014349107755,0.4419650320855084,0.13393622776944278,0.1647975431603185
13,0.13216275494732907,0.30183992797655684,0.2378628702414316,0.3197232572204674,0.4334258739714141,0.1431260750336601,0.14239609389878902
14,0.12705100758139468,0.3106400447576867,0.24340222815095472,0.3216153734452497,0.43901769320170086,0.13070721975830416,0.14288149541179504
15,0.12280344499001145,0.30590572148396594,0.24128724859298348,0.3308041033078691,0.42598520769617865,0.1366159302565072,0.14402551901620783
16,0.11907078908329573,0.31696154452334796,0.2536100803734026,0.3123283742374404,0.4124527937149111,0.13204765979350025,0.15003284939756698
17,0.11729949917481099,0.29915592413431713,0.24444474125304164,0.3110085522980116,0.40248683511303995,0.13130535822191675,0.14297434568075387
18,0.11289695849914384,0.2950111661379433,0.24957823621451772,0.31211645276714656,0.38899547381025135,0.14101420794285185,0.14955617332854212
19,0.11098482570391528,0.3005102965079073,0.25231957699418234,0.3147459373104787,0.40727187010922045,0.1380054413200579,0.14304193718304772
20,0.10753124034132701,0.2966019906113916,0.2332353641383381,0.3316712834528373,0.3817959844159223,0.12583559858683563,0.13401217216607775
