episode_id,controller,trajectory_kind,shift_type,shift_intensity,shift_time,unseen,rmse,mae,final_position_error,heading_error,success,recovery_time,control_smoothness,control_energy_proxy,peak_error_after_shift,mean_error_after_shift,robustness_score
eval_2024_friction_shift_mild_00,baseline,figure8,friction_shift,mild,3.7994229415029985,1,0.04913097247481346,0.04253385215997696,0.02677375264465809,0.03239279240369797,1.0,0.35000014305114746,0.05362973362207413,0.5396220684051514,0.0642632246017456,0.03891369327902794,0.9520564283458782
eval_2024_friction_shift_mild_00,adaptive,figure8,friction_shift,mild,3.7994229415029985,1,0.0406891293823719,0.03270552307367325,0.0020646839402616024,0.02696402184665203,1.0,0.35000014305114746,0.05995782092213631,0.5486744046211243,0.035292964428663254,0.02326374128460884,0.9601275590062527
eval_2024_friction_shift_mild_01,baseline,circle,friction_shift,mild,4.67527107394866,0,0.1563601791858673,0.0967697948217392,0.05801874026656151,0.05799202620983124,1.0,0.34999990463256836,0.05692102760076523,0.7005032896995544,0.07674312591552734,0.05884614959359169,0.8552510912471459
eval_2024_friction_shift_mild_01,adaptive,circle,friction_shift,mild,4.67527107394866,0,0.149367094039917,0.07624496519565582,0.021124225109815598,0.05189927667379379,1.0,0.34999990463256836,0.05953901633620262,0.7129834294319153,0.040827684104442596,0.02903011627495289,0.8612528960564796
eval_2024_friction_shift_mild_02,baseline,spline,friction_shift,mild,7.808362605128902,0,0.0861905962228775,0.04661146178841591,0.02564598247408867,0.034810870885849,1.0,0.34999990463256836,0.055218592286109924,0.2428732067346573,0.02570514939725399,0.020288502797484398,0.9174193578911736
eval_2024_friction_shift_mild_02,adaptive,spline,friction_shift,mild,7.808362605128902,0,0.08406197279691696,0.04385228827595711,0.02046189457178116,0.031027108430862427,1.0,0.34999990463256836,0.06273771822452545,0.24608615040779114,0.021420741453766823,0.01770314946770668,0.9193742781341716
eval_2024_friction_shift_mild_03,baseline,circle,friction_shift,mild,4.6248974592706,0,0.08096164464950562,0.0536729134619236,0.03629511967301369,0.0367918461561203,1.0,0.34999990463256836,0.054198089987039566,0.3716214895248413,0.0371069572865963,0.03020605258643627,0.9222290631852106
eval_2024_friction_shift_mild_03,adaptive,circle,friction_shift,mild,4.6248974592706,0,0.07711154222488403,0.044416483491659164,0.016978133469820023,0.03394069895148277,1.0,0.34999990463256836,0.05339301377534866,0.37700292468070984,0.026003582403063774,0.018393129110336304,0.9257865835518194
eval_2024_friction_shift_medium_00,baseline,spline,friction_shift,medium,5.390695846068521,1,0.13464774191379547,0.09088551253080368,0.0635819211602211,0.046363189816474915,1.0,0.34999990463256836,0.059509970247745514,0.6543501615524292,0.11257728934288025,0.07311096787452698,0.8740237393971889
eval_2024_friction_shift_medium_00,adaptive,spline,friction_shift,medium,5.390695846068521,1,0.12833808362483978,0.08057849854230881,0.04180515930056572,0.04619091749191284,1.0,0.34999990463256836,0.062344156205654144,0.6689485907554626,0.06774600595235825,0.04913494363427162,0.8795559654030859
eval_2024_friction_shift_medium_01,baseline,lane_change,friction_shift,medium,3.832625801644978,0,0.10953620076179504,0.0659579411149025,0.034430645406246185,0.01019258052110672,1.0,0.35000014305114746,0.055493809282779694,0.17251837253570557,0.06377510726451874,0.03983558714389801,0.8962497188522554
eval_2024_friction_shift_medium_01,adaptive,lane_change,friction_shift,medium,3.832625801644978,0,0.10608428716659546,0.05527820810675621,0.0247991681098938,0.010398932732641697,1.0,0.35000014305114746,0.05722244828939438,0.17458981275558472,0.041543878614902496,0.026609037071466446,0.899348841315585
eval_2024_friction_shift_medium_02,baseline,circle,friction_shift,medium,3.6044739513104505,0,0.14297308027744293,0.09693644195795059,0.07135125249624252,0.0657881647348404,1.0,0.34999990463256836,0.0553368479013443,0.5305575132369995,0.07258480787277222,0.06361628323793411,0.8667774019886076
