controller,shift_type,shift_intensity,rmse_mean,rmse_std,mae_mean,final_position_error_mean,heading_error_mean,success_rate,recovery_time_mean,control_smoothness_mean,control_energy_proxy_mean,robustness_score_mean
adaptive,actuator_delay,medium,0.08864903884629409,0.05204614448712908,0.0556460409425199,0.046875290165189654,0.03785228783575197,1.0,0.350000003973643,0.09497709013521671,0.9265327677130699,0.9162788315539611
adaptive,actuator_delay,mild,0.10292002558708191,0.04595782088039601,0.05770032154396176,0.02384812196153992,0.04412081046029925,1.0,0.3500000238418579,0.09323703994353612,0.7372755737354358,0.9030622944184844
adaptive,actuator_delay,severe,0.1042809933423996,0.0388332312881342,0.06096476626892885,0.03631352315035959,0.05012754195680221,1.0,0.34999998410542804,0.11268609979500373,0.6107544588545958,0.9015939696718922
adaptive,disturbance_burst,medium,0.19657326738039652,0.028973396407256543,0.1315722887714704,0.040998403021755316,0.11480661047001679,1.0,0.34999990463256836,0.13113034764925638,1.769127368927002,0.8218556930308923
adaptive,disturbance_burst,mild,0.1516625074048837,0.017175277104168652,0.1055764090269804,0.029010530095547438,0.08434327815969785,1.0,0.3500000437100728,0.131433363383015,1.7272676974534988,0.8593944054994545
adaptive,disturbance_burst,severe,0.22685369725028673,0.03676096931306036,0.1448174398392439,0.04206973616965115,0.12577682981888452,1.0,0.34999998410542804,0.13045620483656725,1.4568531215190887,0.7975267143348713
adaptive,friction_shift,medium,0.11262356986602147,0.04866385194527388,0.06393958861008286,0.03500337402025858,0.04308123351074755,1.0,0.35000012318293255,0.0649831077704827,0.4748543854802847,0.894453890753358
adaptive,friction_shift,mild,0.09317183432479699,0.04665867563394289,0.054099484657247864,0.02668660324222098,0.044748335455854736,1.0,0.3500000238418579,0.07258621510118246,0.9751514432330927,0.9119289934327582
adaptive,friction_shift,severe,0.10734957208236058,0.04604415293836435,0.06866920087486506,0.04852949843431512,0.04139926563948393,1.0,0.34999998410542804,0.06758213912447293,0.5800122326860825,0.899084352555072
adaptive,mass_shift,medium,0.11931378208100796,0.032969449937702865,0.07870784153540929,0.10433614766225219,0.07335828275730212,1.0,0.3500000238418579,0.08069240301847458,1.3115728373328845,0.8879712657761786
adaptive,mass_shift,mild,0.09655475212881963,0.030023849543340253,0.06319429942717154,0.06230791726072008,0.05454721829543511,1.0,0.34999998410542804,0.0783866976077358,1.0034838803112507,0.908335825020235
adaptive,mass_shift,severe,0.15238002749780813,0.059317816781323855,0.10368034274627765,0.14488567291603735,0.08569204512362678,0.75,0.34999990463256836,0.08352217574914296,1.5243440847843885,0.7783489121902124
baseline,actuator_delay,medium,0.09294810798019171,0.06116097257507816,0.058964291432251535,0.0596382759589081,0.03941282024607062,0.9166666666666666,0.350000003973643,0.06664628318200509,0.9680051083366076,0.8868677058027287
baseline,actuator_delay,mild,0.10436293544868629,0.04701587927269022,0.0586851203503708,0.023964759175820898,0.045861752703785896,1.0,0.3500000238418579,0.06486453457425038,0.7437046350290378,0.9018012302476736
baseline,actuator_delay,severe,0.10719244151065747,0.04263535304907673,0.06391798332333565,0.054048655554652214,0.05243053395921985,0.9166666666666666,0.34999998410542804,0.06478528678417206,0.6240692858894666,0.8716966088605833
baseline,disturbance_burst,medium,0.26347436383366585,0.03469506576494116,0.16927908981839815,0.06004512453606973,0.15217806957662106,1.0,0.34999990463256836,0.11596087987224261,1.8292099982500076,0.7687971435978231
baseline,disturbance_burst,mild,0.20696561907728514,0.021233935825374917,0.13920355774462223,0.03040551219601184,0.11490907333791256,1.0,0.3500000437100728,0.1176244808981816,1.802356059352557,0.8132151127448095
baseline,disturbance_burst,severe,0.30804075797398883,0.04220143285930356,0.18972612917423248,0.05627003867023935,0.16535241218904653,1.0,0.34999998410542804,0.10985707553724448,1.5451185305913289,0.735478634657396
baseline,friction_shift,medium,0.11984548003723224,0.045492338936724296,0.07558931068827708,0.06252724103008707,0.04605880007147789,1.0,0.35000012318293255,0.06076894203821818,0.46453384558359784,0.8878965976519219
baseline,friction_shift,mild,0.09840576288600762,0.0453639490925661,0.0626826814065377,0.04698229658727845,0.04908909027775129,1.0,0.3500000238418579,0.06883555774887402,0.9513215000430743,0.9071201208775599
baseline,friction_shift,severe,0.11985693033784628,0.04581009480208357,0.08551877085119486,0.08951581983516614,0.04637401054302851,1.0,0.34999998410542804,0.06369438115507364,0.5665077734738588,0.8879035516194821
baseline,mass_shift,medium,0.1614736933261156,0.06036546530624526,0.10972494507829349,0.22262487219025692,0.09462596041460831,0.75,0.3500000238418579,0.06989570427685976,1.2798005218307178,0.773812838823408
baseline,mass_shift,mild,0.11749644049753745,0.04631388000069687,0.08396129620571931,0.11091938715738554,0.06915991458420952,0.9166666666666666,0.34999998410542804,0.06813167097667854,1.0097350894163053,0.8631352119638721
baseline,mass_shift,severe,0.20471417034665743,0.09599140326685558,0.14338941778987646,0.2099709945420424,0.11404713056981564,0.75,0.34999990463256836,0.07231582359721263,1.4496090232084196,0.7440930432937457
